Molecule	Protein	Gene	UniProt	C1	C2	C3	C4	C5	C8	C9	C11	C14	C15	C16	C17	C18	C19	C20	C21	C24	C25	C26	C27	P1	P2	P4	P6	P9	P11	P13	P17	P18	P19	P20	P21	P24	P25	P27	P28	P29	P30	P31	P32
6468-37	TKN4	TAC4	Q86UU9	913.3	883.9	1047.9	853.7	1210.9	717.4	951	962.2	872.4	822.5	809.3	630.3	699.5	939.9	720.9	1077.8	723.2	652.7	801.9	796.4	643.5	672	1461.1	724.8	711.8	727	733.4	690.3	944.8	837.3	691.2	641.8	802.2	889	1079.5	893.2	1025.2	973.7	899	943.8
6469-62	LY66D	LY6G6D	O95868	271	302.4	295.4	299.4	273.5	288.8	321.1	315.2	284.2	262.3	337.3	295.2	370.8	284.3	284.2	316.2	293.1	282.8	281.4	275.8	287.6	282.7	325.1	284.9	304.5	286	283.3	276.9	257.4	279.8	268.4	305.3	2705.3	292.8	263.8	274.7	290.9	271.6	282.9	1648.4
6470-19	fibulin 1	FBLN1	P23142	37828.2	41400.1	41276.2	29837.7	39892.1	42535.7	37386.4	43155.1	38449	40079.4	33836.5	42359.1	34150.5	35442.7	40777	38521.9	46006.3	41524	37268.9	39994.7	40704.7	32644	43305.4	42159.6	37927.6	35953	35334	36857.2	35090.3	44500.3	37495.1	46941.9	41783	28827.6	45354.3	33793.3	46329.4	39419.9	40189.8	35772.7
6471-53	FHR4	CFHR4	Q92496	51894.1	6054.7	37875.5	32020.1	78532.3	11726.8	65109.3	17070.9	25590.1	1304	40777.2	32625	29521.6	3826.7	32377.4	33671.4	1496.6	43022.1	33666.2	3678.6	48453.3	21323.3	62487.2	8154	23114.2	42935.1	19472.5	50909	11801.4	15377.4	44221.3	4339	23930.3	8178.2	54865	19177.8	10445.9	34454.5	50989.6	30809.5
6472-40	GP100	PMEL	P40967	3167	3455.9	2539.3	3363.3	3317.3	3341.1	2819.8	4607.3	5805.1	3395.5	4505.2	5373	8191.4	3368.7	4318.8	2549.5	3589.3	3832	2786.4	3826.4	3948.5	3197.1	4410.7	4857.6	2265.1	3886.4	3143	2952.5	3136.3	3665	3739	4166.7	3623.5	3220.7	3640.8	3607.5	4708.6	3762.9	2483	3836.2
6473-55	PLUNC	BPIFA1	Q9NP55	841.6	854.3	993.2	815.4	1067.3	731.5	916.7	988.2	843.6	761.3	834.9	789.6	659.7	896.3	734.6	1050.4	703.8	614.6	832.2	720.5	670.1	674.5	1297.8	673.1	737.8	739.9	737.6	813.5	857.5	758.1	614.7	813.3	758.6	893.3	1015	838.1	966.4	904.1	910.3	910.4
6478-2	IGLO5	IGLON5	A6NGN9	3591.2	3042.6	1630	2833.6	2655.1	2809.3	2538.4	2497.6	2328.3	1963.7	1865.4	3809.7	2771.3	2434	2888.1	1857.2	3854.5	4666.9	3594.3	3781.3	3593.7	2742.6	2770.5	3282.3	3586.4	2878.3	2242.4	3061.1	3102.5	7581.8	4520.5	4865.3	3129.8	2180.4	3771.8	3318.3	3227.9	3127.4	3342.3	2738.4
6480-1	CANT1	CANT1	Q8WVQ1	641.1	778.5	632.4	656.7	529.1	720.6	462.2	488.8	642.9	584.2	1177.5	558.7	451.2	541.4	960.1	1565.1	488.3	501	622.5	485.5	644.4	593.3	426.4	796.2	626.3	1793.4	1274.3	587.7	492.8	726.3	807.5	654	680.6	890	1714.5	469.7	684.9	547.9	513.6	647.4
6485-59	IGLL1	IGLL1	P15814	2070	1430.2	595.1	1840	849.8	2223	2048.1	1273.3	2263.4	2089	675.3	774.5	949.8	1589.9	3413.7	973.5	1800.5	1324.5	2424.7	2083.2	2379.5	1527.8	1779.5	3916.7	880.3	729.7	743.5	2480.5	1372.1	1260.8	1977.8	8309.4	4734.5	2556.1	965.2	1053.6	7287.8	1967.5	1288.6	865.5
6491-59	kallikrein 15	KLK15	Q9H2R5	1204	1563.8	1025.8	1263.7	1075.8	1403.1	1303.7	1236.1	1384.6	1259.2	1535.6	1434.8	1197.4	1278.1	1164.2	1208.7	1598.6	2639.3	1422	1932.3	1346.9	1295.2	1110.7	1184.4	1299.1	1424.7	1570.1	1813.6	1141.9	1165.1	1256.2	1282.7	1268.3	1165.2	1098.9	1340.9	1141.1	1278.2	1442.8	1175.9
6493-9	CBPZ	CPZ	Q66K79	552.4	525.2	577.2	514.8	785.7	583.3	675.9	617.4	542.5	656	603.5	494.5	535	670.4	615.4	688.3	584	541	521.2	552	626.5	661.6	575.6	571.7	658.1	900.9	589	684.4	504.3	517.7	594	533	508.5	613.1	525.5	557.9	696.3	557.3	647.9	522.7
6494-60	sperm acrosome associated 5	SPACA5	Q96QH8	385.4	370.6	431.2	393.2	330.3	632.7	416	409	415	580.6	420.5	415	357.3	361.1	404.1	376.9	425.1	470.7	402.5	553.7	423.1	403.4	354.9	414.5	449.3	439.1	417.3	437.8	377.1	373.8	434.3	1173.9	412.1	457.1	348.4	387.8	400.4	346.9	382.6	355.9
6495-14	Endothelin 1	EDN1	P05305	405.1	436.7	480	427.1	406.3	469.3	545.1	466.8	416.9	431.6	439.5	457.8	418.9	423.9	452.2	499.5	452.5	721	415.9	474.9	471.2	721.1	480.1	554	477.8	460.1	471.6	468.7	415.4	440.8	429.6	452.1	487	472.1	385.7	458.6	419.1	527.2	460	472.7
6496-60	DLK1	DLK1	P80370	407.7	397.5	502	438	834.3	1060.1	633.1	703.2	353	327.9	668.8	491.4	430	342.9	438.8	807.5	399.2	260.7	461.8	407.3	942	520.9	320.9	1066	560.7	482	1095.6	514	825.7	1185.7	562.2	411.4	553.8	1417.6	721.2	783.2	554.2	581.1	848.1	666.9
6497-10	XLRS1	RS1	O15537	919.9	934	950.1	867.8	887.1	964.8	1262.9	975.2	948.3	907.6	1049.7	842.1	917.2	1009.2	952.1	1258.9	1042	1354.5	964	864.9	863.9	874.3	1130.4	952.9	1072.7	883.4	947.4	945.3	823.3	944.4	867.2	992.9	822.9	924.1	826.3	908.1	1089.5	887	869.5	887.5
6504-65	Lysyl oxidase-like protein 2	LOXL2	Q9Y4K0	248.6	278.5	267.7	247.9	223.4	265	241.1	258.7	257.1	246.8	237.9	298.6	324.7	255.5	296.5	209.7	256.5	264.8	245.9	323.8	268.9	287.2	264.4	290.6	271.9	294.8	261.4	263	241.2	264.4	242.1	291	257.2	275	219.8	246.8	244.8	250.4	305.6	238.8
6506-54	TMEDA	TMED10	P49755	869.2	818	974.2	1152.9	993.8	821.2	981.5	836.6	995.8	965.3	1387.5	878	1039.6	908.5	909.4	1464.5	922.6	1045.5	985.1	825.2	1027.8	943.2	1042	1077.8	1057.1	1155.8	1680.4	859.7	836.4	962.6	892.2	822.7	1030.3	868.9	1021.1	1128.5	774.1	1154.5	1093.9	943.4
6507-16	NCAM2	NCAM2	O15394	1294	1840.1	1180.5	1453.4	1543.8	1432.5	1812.3	1451	1552.4	1630.8	794.1	1981.3	1896.9	2094	1791.7	983.3	1862.8	1846.2	1276.9	2226	1427.4	1895	1772	1866.2	1663.3	1551.5	1165.2	1561.5	1535.4	1653.8	1562.1	2633.6	2599.4	1578.3	2518.8	1198.5	2184.7	1607.9	1837.9	1983.5
6508-68	SG1D2	SCGB1D2	O95969	1055.3	981.1	1056.9	947.8	1022.7	1135.5	1047.4	1051.9	1307	1266.3	1671.2	1123.3	1017.9	1225.7	931.5	1382.7	1296.2	1301.5	1475.6	1044.9	995.7	1128.1	1077.9	872.8	960.3	963.3	1192.4	1576.9	959.9	1057.6	1548.6	975.5	986.8	1021.9	917.2	1204.8	1303.5	1062.5	1302.5	1000.9
6510-56	RN128	RNF128	Q8TEB7	2586	2488.3	2642.9	2607.2	2819.6	2419.3	2634.5	2303.1	2474.6	2335.3	2963.1	2241.2	2243.1	3263.1	2548.6	3555.6	2214.9	2319.3	2601.2	2345.5	2222.5	2155.1	3064.2	2575.2	2234.2	2271.6	2649.2	2506.6	2707.5	2528.5	2552.9	3440.2	2463.2	2401.8	2667.4	2431.7	2614.7	2775.7	2445.3	2529.4
6511-17	F19A4	FAM19A4	Q96LR4	771	829.3	3757.3	790	862.6	808.8	891.2	801.8	818.2	801.1	834.5	775.2	787.7	1298.5	774	877.5	819.3	834	799.5	781.7	754.7	797.5	906.9	799.2	816.1	831.4	808.5	788.9	776.5	780.4	748.5	767.9	742.8	754.1	765.3	813.1	821.4	792.5	789.1	776.7
6517-14	BMP-3b	GDF10	P55107	1179.8	1264	1453.3	1388.4	1330.3	1283.6	1426	1390.8	1243.4	1119.7	1290.8	1040	1298.8	1518.8	1136.7	1513.1	1111.4	1060.3	1109.2	1086.8	1118.2	1242.9	1548.3	1740.6	1435.2	1329.5	1254.8	1179.4	1160.3	1175.6	1232.8	1946.4	1113	1299	1340.8	1278.7	1391.4	1273.8	1329	1589
6518-85	ghrelin	GHRL	Q9UBU3	786.9	547.2	457.4	846.8	808	831.2	1079.1	1305.9	1551.6	2506.2	1459.5	1761.8	1951.5	1919.3	804.7	796.4	2285.2	2590.4	2078.7	1744.6	1153.7	897.2	580.7	951.5	1149.8	1888.1	550.8	3636.7	961.1	1423.1	1035.9	824.5	1740	996.8	576.7	2805.6	658	1159.3	2315.3	868.2
6520-87	MGP	MGP	P08493	3887.1	3698.8	2750.1	2744.7	1489.3	2737.7	3359.3	3557.8	2717.7	3373.7	2442.7	2637.7	4124.6	2335.6	1638.3	2647	3391.2	3726.8	3453.2	2960.3	2099.6	4915.4	2418.5	3130	3306.9	3295.3	3039	3774	2370.9	2872.1	2139.3	3712.8	3723.4	3472.8	3539.2	2822.5	3371	4175.5	2698.4	4458.5
6521-35	NPTX2	NPTX2	P47972	1668	1228.2	1234.9	1283.5	1448.1	1213.4	1401.3	1111.2	1142.1	1368.7	1424.3	1201.4	1235.2	1832.5	1284.1	1353.8	1294.6	1518.4	1548.5	1256.2	1278.1	1430.4	1701.1	1032.3	1132.4	1079.3	1274.4	1452.1	1394.9	1040	1306.8	1262.9	1284.8	1526.6	1293.6	1415.2	1188.1	1091.3	1376.4	1175
6522-57	Fc_MOUSE		Q99LC4	32101.6	18807.8	24870.8	19012.9	15634.2	23299.2	23744	21066	18892.5	13938.4	19818.1	16639.8	16114	17973.4	20304.4	26659	22010.5	28303.5	26723	23193.3	17110.5	25604.3	21340.4	26607	16249.8	19483.1	14831.9	18934.4	15290.9	20335.3	20455	28082.9	22033.2	24781	17104.1	22080.1	24907.7	13678.3	16968.9	22094.7
6525-17	DUSP13	DUSP13	Q6B8I1	3564.2	2614.5	2160.6	2904.6	2858	2454.5	3161.4	2924.9	3217.8	3959.3	2427.3	3993.4	2843.3	2868	3468.7	2196.1	3758.2	5159.4	3783.4	3310.7	2662.3	3194.9	3624.2	2732.4	2463.5	2885.5	1943.3	3694.7	3287	2991.4	4038.8	3493.9	4093.2	2580.3	3933.2	3523.2	11039.4	2871	3634.4	3210.5
6526-77	OBP2A	OBP2A	Q9NY56	499.5	1230	573	448.2	591.2	579.5	481	559.7	477.7	480.9	563.4	542.5	564.2	546.4	529.9	522.3	511.6	575.3	529	500	562.7	506.1	500.6	586.1	580.5	843	635.4	688.3	496.8	490.6	526.7	534.8	529.3	553.5	448.2	603.2	466.9	541.3	530.3	515.4
6527-1	TRIL	TRIL	Q7L0X0	2839.2	2426.2	2591.4	2705.2	3890.4	2161.5	2712.8	2346.2	2205	2433.4	1593.5	1875.7	2154.3	2390.4	2280.8	1632	2611.1	2075.1	2669.9	2470.1	2143.5	2228.9	4319.7	2787.2	2079.2	2342.3	1690.8	2016.2	2928.2	2212	2135.1	2134.8	3173.4	2295.7	3432.7	2673.7	2673.5	2267.9	2650.6	2564.7
6528-95	EXTL2	EXTL2	Q9UBQ6	1310.6	1223	1217	1373.6	1686.4	1193.4	1633.3	1144.6	1344	1020.9	1367.7	893.7	1003.4	1136.6	1147.5	1715.5	1155.6	1313	1628.3	929.7	992.9	1008.9	1681	1413.7	1209.6	1217.6	1189.3	1130.4	1360.2	1113.2	1026	1171.6	1076.5	1105.5	1531.4	1324.3	1217.1	1060.1	1077.7	1286
6530-63	PROL1	PROL1	Q99935	218.7	240.8	232.6	203.3	212.2	249.1	224.3	250.3	225.3	223.9	232.9	273	255.5	292.3	247.9	217.2	298.6	237.1	223	226	259	260.3	222.8	245.2	272.7	268.5	264.2	230.1	213.5	232.4	242	257.6	243	252.8	269.5	247	223.5	222.3	243	236
6531-29	F162A	FAM162A	Q96A26	272.6	279.8	261.4	283.3	257.9	321.9	322.2	364	406.9	458.5	339.2	430.3	416.4	460.1	299.1	247.8	402.7	432	404.2	429.7	340.5	344.1	270.6	319.4	320.5	313.5	286.5	578.5	277.6	339.2	356.5	312.6	362.8	312.6	246.8	338.9	251.7	348.8	374.2	302.3
6533-20	DNS2B	DNASE2B	Q8WZ79	158.1	167.2	149.6	146.8	187.6	170.5	158.3	148.7	1520	168.5	147.9	180.8	182.4	146.1	195.5	119.8	169.8	185.6	216.2	171.3	201.7	189.3	165.1	189.2	178.8	168.1	166.1	156.2	161.2	165.6	181.1	212.8	163.7	162.4	144.1	173.9	151.6	156.2	155.7	217.9
6536-54	LAML2	PLBD2	Q8NHP8	3004.1	3048.7	3324.1	2854.7	24159.6	3173.5	2766.4	2936.4	2985.1	2667.4	3586.5	2612.5	2395.8	3069.9	2799.9	4044.8	2388.7	2543.1	4129.9	2606.8	2516.6	2347.2	3699.7	2559.4	2622.7	2632.6	3487.7	2765.9	2999.5	2953.1	2688.4	2367.4	2677.1	2582.9	3360.5	2844.7	3011.8	2863.3	2883	3294.6
6538-90	K2013	KIAA2013	Q8IYS2	407.3	395.9	404.4	422.1	355.8	395.9	334	410.7	360.9	371.4	386.8	495.1	364.5	402.3	383.4	368.5	476.9	386.9	375.5	406.1	521.6	451.6	379.3	491.3	429.3	428.5	492.8	422.6	410.4	485.2	424.7	393.1	377	382.9	346.6	417.6	406.9	430.3	466	429.6
6543-182	PRRP	PRLH	P81277	1607.4	1261.8	1182.3	1161.9	1071	1269.9	2041.1	1367.9	1345.9	1148	1478.3	984.3	1084.9	1246	1249.1	1963.6	1442.4	1249.1	1194.1	937.6	988	1112.8	1443.3	1271.9	1353.3	1229.2	1359.2	1144.1	1072.8	1236.7	1153.8	1171.8	1016.7	1143.5	1045.4	1201.2	1567.2	1394.5	1076.8	1266.5
6544-33	NELL1	NELL1	Q92832	3600.3	4141.4	3286.9	5454	4563.9	5052.3	4304.5	4665.9	4564.4	4983.5	3274.7	5332.5	6361.5	4498.5	5930.7	2948.1	9781.8	7517.1	7699.4	5643.2	5539	8590.2	4619.2	5866.5	5360.3	7742.5	496.9	4913.8	6845.5	4578.4	5286.6	5612	7285.7	4169.9	3971.4	4293.5	6888.3	4214.5	5030	5290.9
6545-58	PRIO	PRNP	P04156	1201.4	1165.2	1493	1092	1324	1099.1	1173.3	1335.5	1255.1	1114.8	1347.7	961.2	904.1	1145.8	969.1	1519.8	924	954.3	1133.8	874.2	926.2	909.9	1541.6	953.1	1166	1047.8	1165.3	1167.7	1155.4	996.7	860.8	830.7	911.3	1222.8	1167.8	1278.7	1068.7	1064.9	1172.8	1154.8
6547-83	TM11D	TMPRSS11D	O60235	445	451.5	497.1	451.9	530.6	463.8	514.2	823.3	487.4	473.7	486.7	421	551.4	404.5	504.3	480.3	498.8	491.5	510.8	373	477.5	451	455.3	469.9	534	562.6	439.7	460.5	432.5	409.9	433.9	513.1	419	459.5	413.3	596	426.6	403.7	384.7	428.5
6549-60	VTM2L	VSTM2L	Q96N03	275	286.3	343.2	279.2	252.9	320.1	1016.5	291.1	276.6	293.1	242.7	268	256.2	287.2	257.6	266.5	254.6	259.5	323.8	553.7	242	306.1	313.5	430.2	282.9	230.6	254.6	231.9	236.7	252.9	269.1	279	255.6	279.7	296.2	231.3	305.7	282.1	268.8	266
6550-4	ICAM4	ICAM4	Q14773	957.7	2179.9	1034.9	1853.6	1565.2	2140.9	1540.4	1685.6	1600.2	2142.7	1141.3	967.2	1415.7	1103.7	1629.2	919.1	1723.5	1377.5	1365.4	1704.9	1502.8	666.1	1509.2	1690.4	1211.7	1094.8	872.7	2558.9	1757.1	1575.9	2407.8	1593.4	1222.4	1406.7	1207.2	2251.5	1682	1494.2	1330.1	2331.5
6551-94	Vaspin	SERPINA12	Q8IW75	2521.3	2167	2473.2	2284.5	2740.6	2149.9	3199	2160	2260.1	3398.3	2730.9	2212.3	1720.4	4512.3	2305	2316.3	2794.6	3935.1	3582.2	1989.3	1891.9	2157.8	3093.5	2294.7	2244.7	2293.8	2135.3	2203.4	2607.8	2379.5	2696.8	2406.9	4369.3	2515.1	4805.1	2917.7	3002.2	2401.3	2602.7	2197
6553-68	CCD19	CFAP45	Q9UL16	418.4	385.3	388.2	380.5	541.4	405.3	427.3	410.6	385.5	385	382	395.8	400.4	458	439.3	452.4	411.5	1279.3	359.3	480.5	479.9	434.6	413.6	417	394.7	516.6	389.8	464.7	349.3	399.7	390.5	2194.1	379.8	420.7	451.9	375.2	451.1	430.7	419.4	389.6
6555-58	Stomatin-like protein 2	STOML2	Q9UJZ1	1085.4	1150.8	1672.3	1035.9	1167.6	1129.7	1068.3	1154.2	1294.5	987.2	2006	1065.2	1005.3	1204.3	1068.1	2339.7	1144	900.5	1248.4	1006.7	985.2	1060.3	1164	957.3	1057.9	1002.3	1275.5	1261.9	839.2	1020.2	1206.5	1319.3	933.5	979.3	1099	1173.6	1038.4	1001	1244	965.1
6556-5	ENPP5	ENPP5	Q9UJA9	736	766.4	452	611	1099.4	841.5	970	820.2	813.1	1126.6	1001.2	985.1	798.3	926.7	1194.9	1049.9	1220.8	1774.5	1177	1699.6	1136.3	481.7	1065.6	803.3	169.1	769.7	787.7	750.1	691.8	601.2	1024	805.5	749.8	716.9	656.1	854.6	1041.3	558.9	783.1	886.6
6557-50	LRC15	LRRC15	Q8TF66	1289.8	1553.8	962.8	1516.4	1437.8	1331.6	1097.2	975.1	1120.8	1293.8	1667.2	1810.9	2337	1499.8	1368	1356.5	852.6	1344.2	1559.2	1809.1	1662.7	748.6	1607.1	2268.7	1540.5	1044.6	1799.5	1608.8	1286	969.6	1315.9	532	1465.1	966.3	1244.4	1184.9	1444.1	1899.6	1103.9	1118.4
6558-5	COL10	COLEC10	Q9Y6Z7	1196.9	1166.4	1302.2	1371.7	1623.4	1224.7	1375.4	1120.6	1185.9	1112.7	1221.5	968.7	1023.9	1185.5	1302.1	1533.7	1055.9	1958.7	1201.3	1066.2	975.4	1030	1916.3	1094.7	1038.1	1214.1	1088.7	1052.1	1341.6	1236.9	1027.2	935.2	1092.5	1159.7	1470.7	1215.6	1431.5	1267.4	1126	1163.1
6561-77	Ig K chain V-I region HK102-like	LOC652493		4439.2	3932.2	4540.8	4295	2665.1	4780	2629.5	2335.6	3053.8	2596.2	14002.9	3109.9	2719.7	3063.4	4151.3	19722.7	3273.8	2726.3	4284.8	2319.5	3088.1	3381.7	1836.7	3933.6	2838.7	2987.5	8292.8	3972.3	3047.5	3618.4	5724.2	3075.8	2150.1	3110.2	2067.4	3623.5	2817.9	2247.7	3078.9	3225.5
6563-78	HSP 70	HSPA1A	P0DMV8	2151.8	2278.4	1183.8	2338.7	2086.5	2509.5	1831.4	1344	1791.4	2261.7	1457.8	2408.4	2517.8	2199.5	2297.2	1565.9	2061.3	1938.8	1767.2	2689.9	2761.2	3405.7	2150.5	2696.4	1761.8	2047.7	1746.9	2208.8	2588.6	2726.1	2401.1	2959.8	3206.2	2116.2	2305.7	1927.3	2006.8	3205.7	1893.2	3048.3
6570-1	CODA1	COL13A1	Q5TAT6	1102.7	1050.1	724.2	2010.9	1174.1	1069.5	1011.9	935.6	1082.3	1067.1	844.8	1103.7	1177.7	1089.4	1363	784.4	1073	1384.6	1058.1	1388.4	1286.8	1239.8	1125.1	1328.2	1163.6	896.9	1131.1	974.1	1094.3	1320.2	1052.5	1289.4	1256.6	988.9	992.3	906.5	1137.1	1096.6	1019.1	1130.7
6571-75	CQ078	C17orf78	Q8N4C9	573.5	643.3	783.9	493.4	554	703.3	738.1	923.8	621.4	522	794.8	598	500	633	575.7	845.6	595.4	699.9	659.6	450.2	606.8	531.1	589.2	533.4	672.2	724.8	743.4	634.7	500.1	521.1	555.2	512.4	458.1	655	463.9	665.9	603.5	509.9	628.9	693.1
6572-10	LRRT4	LRRTM4	Q86VH4	597.7	538.1	567.4	572.2	533	605.3	806.7	624.8	551.9	610.7	682.2	567	533.6	556.9	574.4	647.6	735	878.7	735.7	644.2	678.7	573.7	580.4	720.7	594	949.5	571	975.5	609.5	776.4	623.9	667.4	493.5	585.4	574	668.6	622.9	555.1	758.6	684.8
6574-11	FAIM3	FAIM3	O60667	5794.5	3255.1	3558.3	4054.5	4213.1	4617.2	5325.9	5770.4	5741.2	6642.6	3373.6	4803.7	4186.3	3981	8168.6	3719.2	6655.7	7018	8000.6	5564.9	4445.5	4912.8	6606.2	9613.7	7053.6	5139.2	5270.8	5644.7	3396.6	2451.4	7290.7	7204.8	8371.4	6522	3110.9	13048.8	6935.9	4605.6	5072.2	3328.4
6576-1	ART4	ART4	Q93070	1800.1	1566.9	1421.3	1815	2586.2	2148.4	1538.7	1501.4	2453	1552.7	1358.8	2176.2	1596.4	1823.1	1825.9	1306.4	1876.9	1606.4	1392.7	1795.7	2206.3	2072.3	1844.7	2574.9	2516.6	1559.4	1362.4	1833.1	1932	1695.9	1523.5	1607.5	2349.9	1866.4	2459.8	1556.3	2016	2365.2	2663.6	1948.9
6577-64	LAMA4	LAMA4	Q16363	493.6	494.2	448.4	535.1	494.4	469.7	509.4	421.6	525.5	478.1	439.8	449.1	482.9	460.9	443.5	435.3	554.6	551.9	496	439.9	489	550.1	549.1	568.6	513.4	533.5	523.7	450.3	524.3	466.9	443.6	459	452.5	453.5	477.6	478.7	512.7	446.9	440.4	588.6
6578-29	TNMD	TNMD	Q9H2S6	1401.4	1351.5	1513.8	1440	1513.1	1487.1	1618.9	1925.9	1422.3	1260.8	1468.9	1133.7	1142.4	1367.4	1277.5	1612.9	1212.4	1671	1775.6	1267.3	1159.2	1277.1	22660.1	1248	1468.4	1355.5	1388.9	1608.4	1429.9	1315.1	1205.6	1151.6	1237	1314.7	1452.7	1321.1	1493.7	1425.9	1339.8	1454
6580-29	Pregnancy zone protein	PZP	P20742	46950.2	47755.7	580.8	32347	37171	32336.1	33528.7	11589	29030.6	8209.7	14439.7	1157.3	8873.2	3214.7	10694.6	28687.6	83476.2	8352.4	16958.8	9216.6	22844.1	1715.6	19297	56278	6645.8	12160.6	45038.6	41919.1	10873.3	35566.2	29940.5	4965.7	7185.9	18876.4	23811.9	16870	125679.5	17873.5	7193	22941.3
6584-1	SRCH	HRC	P23327	166.6	213	162.8	192.6	202.3	197.2	201.3	163	176.9	214.6	240	207.8	182.7	172.2	309	238.7	185.2	257.9	186.6	188.9	218	204.1	161.5	213.3	204.7	190.3	252.7	193	165.8	217.9	227.4	233.5	168.9	173.2	160	196.7	198.9	170.6	162.7	203.1
6586-19	ADA11	ADAM11	O75078	5710.5	5278.4	3946.1	5774.2	3747.4	6896	5740	3624.6	5125.7	5362.9	4696.5	5898	5861	5644.4	6385.5	4312.8	6039.1	6200.2	5509.3	6087.5	6567.6	5893.5	5084.8	5944.9	4925.9	5853.7	4662.9	6481.9	6275.4	5754.5	5944.1	6393.6	5830.1	4381.9	4358.2	5663.4	4536.4	4276.9	4985	6235.9
6587-6	LRFN5	LRFN5	Q96NI6	1717.9	1688.8	1965.9	1695.1	2303.9	1171.2	1928.7	1950.6	1706.4	1547.6	1441.3	943.1	1236.3	1729.8	1195.5	2048.9	1209.2	1160.4	1573.4	1329.3	1058.4	1141.4	3156.1	1194.6	1197.2	1167	1145.2	1107.6	1805	1506.7	1008.3	1063.7	1515.3	1614	2269.6	1603.7	1983.4	1929.6	1673.1	1811.7
6593-5	GALT3	GALNT3	Q14435	472.1	504.2	488.9	636	462.4	523.4	464	498.6	482.5	453.6	524.8	529.3	549.5	504.2	483.9	498.4	474.9	531.9	509.6	472.9	538.4	479.3	463.8	528.4	501.9	564.4	590.5	540.3	481.7	503.4	517	664.3	460.1	491	457.6	515.4	426.2	476.1	523.1	480.7
6594-64	SMDC1	SAYSD1	Q9NPB0	441.6	468.9	546.4	426.4	539.4	422	521.4	536.7	440.1	424.3	485	395.6	467.9	522.1	443.7	589.2	422.9	571.1	425	389.3	395	511	607.2	435.2	472.2	517.5	440.4	400.7	424.8	550.1	443.3	414.1	440.2	475.8	506.9	440	504.6	540.3	486.9	480.1
6597-24	TM157	FAM174A	Q8TBP5	1584	1480.4	1895.7	1357.1	1590.6	1620.7	1816.2	1393.3	1312.5	1215.3	1431	1441	1976.1	1431	1513.3	1401.8	1420.3	3470.5	1101.8	1662.3	1596.1	1554.9	1510.8	2066.3	1438.5	1607.1	1396.9	1430.6	1453.1	7878.4	1648.2	1166.2	1543.9	1381.4	1645	1791.8	1515.3	1488.8	1732.2	1723.1
6599-5	APCD1	APCDD1	Q8J025	614.7	606	643.4	631.8	630.4	655.1	684.6	630.2	605	709.7	632.8	566.6	582.5	598	640.4	693.2	637	580.3	635.3	634.5	693.9	597.1	742.1	605.8	636.2	708.7	709.1	582.4	609.1	635.1	682.8	809.6	578.9	590.9	620.3	643.9	638.1	606.1	637.5	627.1
6600-70	RELL2	RELL2	Q8NC24	462.7	642.6	463	459.4	509.1	402.6	529.2	475.4	446.9	473.2	433.8	363.2	457.6	481.5	414.3	519.2	433.4	599.4	501.5	397.9	367.4	521.7	680.2	430.4	472.5	392.6	414.8	406	470.2	447.8	471.2	377.3	449.2	521.1	556.8	426.6	540.9	506.5	512.6	531.6
6603-18	KALM	KAL1	P23352	1381.5	1508.6	1423.7	1494.3	1164	1607.8	1756.4	1688.5	1626	1280	1375.1	1394.8	1691.1	1325.6	1364.1	1247.9	1577.5	1433.8	1533.3	3420.8	2032.3	2105.4	1540.2	1711.4	1560.1	1668.7	1441.9	1552.9	1235.2	1447.1	1680.2	1359.9	2607.5	1639.9	1677.8	1703.7	1441.1	1681.3	1604.4	1846.6
6604-59	CD031	NDNF	Q8TB73	1141.7	1220.7	1360.5	1107.8	1232.6	1107.5	1213	1310.7	1140.6	1040.6	1226.6	954.2	965.2	1805.6	1035.8	1455.2	1145	895.8	1085.7	1033.8	1349.3	990.9	1528.3	1001.1	1085.5	1199.4	1146.6	1115.5	1156.8	1154.1	988.7	1040.2	998.4	1162.1	1254	1197.3	1169.9	1156.3	1199.4	1180.5
6605-17	IGFALS	IGFALS	P35858	36017.9	24879	33837.3	27719.6	34875.7	33119.6	26557.2	37403.2	35073.8	31883.4	40706.4	28974.8	29256.4	37526.3	36710.5	26289.1	39437.8	30868.3	37593.2	34533.3	35317.6	33002.1	39482.6	34602	30355.9	25166.5	29744.9	30428.1	28615.3	29316.1	29532.8	32390.3	26967.1	29704.9	27936.5	27676.9	36342	28540	25357.2	34438
6606-61	KISS1	KISS1	Q15726	4092.7	4753.6	6162.4	3822	68255.9	76127.1	3835.8	4647.8	3973.7	3852.1	10200.5	3878.3	10449.6	3190.3	4667.2	16621.3	3090.1	3631	67210.2	3254.7	3132.6	4705.9	4243.6	64344.1	3769.7	3372.4	6829	68243	3255.5	4063.8	4745.9	3412.7	2899.2	61070.4	3286.7	63542	4406.1	3283.9	3620.3	4138.2
6609-22	CN37	CNP	P09543	2754.7	2336	1854.1	3005.9	2228.4	4350.2	2332.5	2424.5	3624.8	4570	3978.4	4472.6	3252.4	2837.3	2732.9	2331.5	5051.7	4667.6	5065.1	3336.2	3063.6	2667	1714.8	1923.1	2468.6	10794.5	4049.9	6406.5	2672.9	3239.4	3384.3	2929.7	3349.3	2496.6	3054.2	3322.9	1696.3	3537.9	4241.1	2722.8
